RID,Education_Level,Institution_Type,Attack_Date,Sex,Age,Device,IT_Student,Location,Internet_Type,Network_Type,Attack_Found,Url,label
10.42.0.211-64.71.142.125-58549-443-6,University,Private,2/13/2020,Male,23,Tab,No,Town,Wifi,4G,1,https://www.theregister.co.uk/2020/02/14/austria_foreign_ministry_hack_turla_group_allegs/,1
209.85.201.188-10.42.0.151-5228-53409-6,University,Private,1/23/2020,Female,23,Mobile,No,Town,Mobile Data,4G,1,https://unit42.paloaltonetworks.com/the-fractured-statue-campaign-u-s-government-targeted-in-spear-phishing-attacks/#Attribution,1
180.76.147.97-10.42.0.211-80-60005-6,College,Public,04-06-20,Female,18,Mobile,No,Town,Wifi,4G,0,https://www.minister.defence.gov.au/minister/lreynolds/media-releases/offensive-against-covid-19-cyber-criminals,0
8.0.6.4-8.6.0.1-0-0-0,School,Private,2/16/2020,Female,11,Mobile,No,Town,Mobile Data,4G,1,https://www.bleepingcomputer.com/news/security/hacker-group-catfishes-israeli-soldiers-into-installing-mobile-rat/,1
10.42.0.42-40.127.169.165-59453-443-6,School,Private,08-10-20,Female,18,Mobile,No,Town,Mobile Data,3G,0,https://www.cybersafe.news/fbi-warns-about-iranian-hacking-group-attacking-f5-networking-devices/,0
10.42.0.151-114.134.80.163-35156-443-6,School,Private,3/29/2020,Male,11,Mobile,No,Town,Mobile Data,3G,0,https://www.theguardian.com/world/2020/mar/29/revealed-saudis-suspected-of-phone-spying-campaign-in-us,0
10.42.0.151-103.7.30.118-56203-80-6,School,Private,05-12-20,Male,11,Mobile,No,Town,Wifi,4G,1,https://www.cyberscoop.com/north-korea-hacking-hidden-cobra-dhs-fbi/,1
206.126.112.141-10.42.0.42-443-40754-6,School,Private,8/31/2020,Male,11,Mobile,No,Town,Wifi,4G,1,https://www.crowdstrike.com/blog/who-is-pioneer-kitten/,1
10.42.0.151-10.42.0.1-13923-53-17,College,Public,1/13/2020,Male,18,Mobile,No,Town,Wifi,4G,0,https://www.bbc.com/news/world-us-canada-51103556,0
8.0.6.4-8.6.0.1-0-0-0,School,Private,1/28/2020,Male,11,Mobile,No,Town,Mobile Data,3G,1,https://citizenlab.ca/2020/01/stopping-the-press-new-york-times-journalist-targeted-by-saudi-linked-pegasus-spyware-operator/,1
203.205.151.213-10.42.0.151-8080-38720-6,University,Public,7/17/2020,Female,18,Mobile,No,Town,Wifi,4G,0,https://www.ynet.co.il/article/rJrCqmAkw,0
180.149.134.221-10.42.0.211-80-45965-6,College,Private,4/15/2020,Female,18,Mobile,No,Town,Wifi,4G,1,https://www.cyberscoop.com/coronavirus-syria-surveillance-apps-lookout/,1
10.42.0.1-10.42.0.42-53-59051-17,School,Private,8/14/2020,Male,11,Mobile,Yes,Town,Mobile Data,3G,0,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,0
10.42.0.1-10.42.0.42-53-63423-17,College,Private,2/16/2020,Female,18,Mobile,No,Rural,Wifi,4G,1,https://www.clearskysec.com/wp-content/uploads/2020/02/ClearSky-Fox-Kitten-Campaign.pdf,1
180.149.153.234-10.42.0.151-80-44857-6,School,Private,4/23/2020,Female,11,Mobile,No,Town,Mobile Data,3G,0,https://www.cyberscoop.com/poland-cyberattack-russia-us-military/,0
10.42.0.211-10.42.0.1-40858-53-17,School,Private,9/18/2020,Male,11,Mobile,No,Town,Wifi,4G,0,https://research.checkpoint.com/2020/rampant-kitten-an-iranian-espionage-campaign/,0
10.42.0.211-10.42.0.1-51704-53-17,University,Public,01-08-20,Female,27,Computer,Yes,Town,Mobile Data,4G,0,https://www.zdnet.com/article/new-iranian-data-wiper-malware-hits-bapco-bahrains-national-oil-company/,0
239.255.255.250-10.42.0.42-1900-57206-17,University,Public,3/31/2020,Female,23,Mobile,No,Rural,Wifi,4G,0,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,0
172.217.3.35-10.42.0.42-443-47404-6,College,Private,7/28/2020,Female,18,Mobile,No,Town,Wifi,4G,0,https://www.nytimes.com/2020/07/28/us/politics/china-vatican-hack.html,0
10.42.0.1-10.42.0.42-53-4524-17,College,Private,03-05-20,Female,18,Mobile,No,Town,Wifi,4G,1,https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,1
182.22.25.252-10.42.0.211-443-57335-6,School,Private,04-06-20,Female,10,Mobile,No,Town,Wifi,4G,1,https://www.cisomag.com/how-the-australian-government-is-fighting-the-war-against-covid-19-scammers/,1
144.2.1.1-10.42.0.211-80-55371-6,School,Public,8/19/2020,Male,10,Mobile,No,Town,Mobile Data,4G,0,https://www.reuters.com/article/us-taiwan-cyber-china/taiwan-says-china-behind-cyberattacks-on-government-agencies-emails-idUSKCN25F0JK,0
180.76.150.180-10.42.0.211-80-39052-6,College,Private,01-09-20,Female,18,Mobile,No,Rural,Mobile Data,3G,0,https://www.wired.com/story/iran-apt33-us-electric-grid/,0
157.240.2.20-10.42.0.211-443-56466-6,School,Private,6/17/2020,Female,11,Mobile,No,Town,Mobile Data,3G,0,https://www.eset.com/us/about/newsroom/press-releases/operation-interception-starting-with-a-linkedin-message-threat-actors-went-after-both-secret-inf/,0
172.217.6.234-10.42.0.211-443-55425-6,College,Public,11/14/2020,Male,18,Mobile,No,Town,Wifi,4G,1,https://us-cert.cisa.gov/ncas/alerts/aa20-258a,1
10.42.0.211-10.42.0.1-59543-53-17,School,Private,1/20/2020,Male,11,Mobile,No,Town,Mobile Data,4G,1,https://www.zdnet.com/article/trend-micro-antivirus-zero-day-used-in-mitsubishi-electric-hack/,1
203.205.151.212-10.42.0.151-80-47360-6,School,Private,3/31/2020,Female,9,Mobile,No,Town,Mobile Data,4G,1,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,1
172.217.3.99-10.42.0.151-443-59517-6,University,Private,7/21/2020,Male,27,Computer,Yes,Town,Wifi,4G,1,https://www.politico.com/news/2020/07/21/doj-chinese-hackers-coronavirus-research-375855,1
10.42.0.151-23.208.147.183-48883-443-6,School,Private,03-05-20,Female,9,Mobile,No,Town,Mobile Data,4G,1,https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,1
10.42.0.211-119.6.229.36-42096-80-6,College,Private,5/13/2020,Female,18,Mobile,No,Town,Wifi,4G,0,https://www.cisa.gov/sites/default/files/publications/Joint_FBI-CISA_PSA_PRC_Targeting_of_COVID-19_Research_Organizations_S508C.pdf.pdf,0
239.255.255.250-10.42.0.151-1900-58127-17,School,Private,8/19/2020,Female,10,Mobile,No,Town,Mobile Data,3G,1,https://www.reuters.com/article/us-taiwan-cyber-china/taiwan-says-china-behind-cyberattacks-on-government-agencies-emails-idUSKCN25F0JK,1
10.42.0.211-77.234.42.92-57427-443-6,College,Private,03-12-20,Female,18,Mobile,No,Rural,Mobile Data,4G,0,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,0
